"112年07月21日 每5秒指數統計"
"時間","發行量加權股價指數","未含金融保險股指數","未含電子股指數","未含金融電子股指數","水泥類指數","食品類指數","塑膠類指數","紡織纖維類指數","電機機械類指數","電器電纜類指數","化學生技醫療類指數","化學類指數","生技醫療類指數","玻璃陶瓷類指數","造紙類指數","鋼鐵類指數","橡膠類指數","汽車類指數","電子類指數","半導體類指數","電腦及週邊設備類指數","光電類指數","通信網路類指數","電子零組件類指數","電子通路類指數","資訊服務類指數","其他電子類指數","建材營造類指數","航運類指數","觀光餐旅類指數","金融保險類指數","貿易百貨類指數","油電燃氣類指數","綠能環保類指數","數位雲端類指數","運動休閒類指數","居家生活類指數","其他類指數",
="09:00:00","17,164.89","14,880.35","18,428.47","15,191.57","164.76","2,103.87","228.93","599.66","319.14","108.21","129.51","152.83","74.86","50.57","376.63","144.69","245.21","422.05","840.94","384.92","239.70","37.62","137.47","195.61","187.66","175.30","106.31","374.63","146.65","144.90","1,669.26","290.10","106.93","94.43","93.05","99.62","95.46","382.00",
="09:00:05","17,106.29","14,824.19","18,405.02","15,167.73","164.42","2,080.99","228.93","599.67","319.06","108.00","129.55","152.89","74.88","50.57","376.63","144.68","245.20","422.16","837.03","384.33","234.79","37.60","137.49","194.14","187.23","175.24","105.65","374.55","145.87","144.96","1,668.23","290.02","106.85","94.52","93.07","99.10","95.44","382.00",
="09:00:10","16,922.86","14,646.03","18,395.05","15,160.71","164.40","2,081.06","228.93","599.70","318.23","108.00","129.61","152.66","75.07","50.57","377.70","144.49","245.20","422.02","823.10","374.22","234.82","37.56","137.05","193.80","187.04","175.10","104.86","374.56","145.69","145.16","1,667.03","289.81","107.09","94.37","92.82","99.10","95.43","380.98",
="09:00:15","16,915.68","14,641.94","18,393.21","15,169.03","164.51","2,082.77","228.76","599.72","318.73","108.34","129.79","152.65","75.29","50.43","377.61","144.41","244.88","424.32","822.59","373.77","234.86","37.56","136.98","193.63","186.92","174.76","105.17","374.54","145.75","145.16","1,664.48","290.79","107.07","94.37","92.82","99.00","95.44","380.54",
="09:00:20","16,886.69","14,615.42","18,393.91","15,176.47","164.53","2,091.51","229.49","600.58","318.44","108.18","129.59","152.19","75.30","50.40","378.80","144.46","244.60","423.78","820.33","372.54","234.88","37.43","137.18","192.22","186.63","174.30","105.13","374.55","145.78","145.39","1,662.87","290.95","107.09","94.30","92.84","98.95","95.26","380.49",
="09:00:25","16,903.05","14,631.44","18,392.28","15,174.56","164.41","2,091.72","229.06","601.40","318.37","108.09","129.67","152.42","75.26","50.29","379.20","144.45","244.37","423.55","821.64","373.49","234.78","37.45","137.19","192.55","186.63","174.02","105.07","374.48","145.90","145.48","1,662.86","290.95","107.21","94.30","92.84","98.93","95.26","380.39",
="09:00:30","16,900.43","14,629.00","18,392.92","15,175.80","164.41","2,091.27","229.06","601.28","318.38","108.11","129.79","152.64","75.30","50.29","379.61","144.46","244.37","423.61","821.42","373.42","234.63","37.46","137.22","192.34","186.54","173.99","105.09","374.57","145.89","145.51","1,662.74","290.95","107.21","94.30","92.84","98.92","95.26","380.42",
="09:00:35","16,898.71","14,627.46","18,397.23","15,181.43","164.48","2,090.03","229.39","601.28","318.31","108.10","129.84","152.63","75.37","50.39","379.61","144.49","244.37","423.55","821.17","373.40","234.76","37.46","137.22","192.09","186.61","174.21","104.77","374.56","146.14","145.67","1,662.63","290.98","107.19","94.21","92.86","98.91","95.26","380.60",
="09:00:40","16,898.87","14,627.90","18,400.40","15,186.23","164.72","2,091.40","229.39","601.88","318.31","108.10","129.91","152.71","75.41","50.39","380.45","144.47","244.37","423.36","821.10","373.41","234.79","37.45","136.96","192.12","186.62","174.27","104.75","374.65","146.31","145.82","1,662.39","290.99","107.18","94.23","92.86","98.94","95.26","380.63",
="09:00:45","16,897.55","14,626.48","18,400.35","15,185.72","164.59","2,091.63","229.29","601.88","318.25","108.22","129.94","152.74","75.43","50.39","381.20","144.48","244.33","423.16","821.00","373.37","234.81","37.41","136.95","192.09","186.61","174.17","104.73","374.55","146.34","146.08","1,662.49","290.98","107.18","94.23","92.84","98.92","95.26","380.63",
="09:00:50","16,889.62","14,618.71","18,402.22","15,187.95","164.47","2,090.93","229.76","601.59","318.29","108.21","129.98","152.74","75.48","50.39","381.38","144.37","244.33","423.36","820.33","372.85","234.52","37.36","136.94","192.15","186.61","173.98","105.04","374.59","146.44","146.14","1,662.49","290.98","107.19","94.23","92.82","98.69","95.25","380.58",
="09:00:55","16,881.10","14,610.28","18,399.68","15,184.59","164.47","2,090.94","229.44","601.37","318.07","108.44","129.95","152.63","75.49","50.39","381.38","144.39","244.33","423.13","819.74","372.32","234.52","37.35","137.22","192.15","186.54","173.81","105.05","374.59","146.44","146.25","1,662.58","290.98","107.18","94.23","92.84","98.69","95.25","380.63",
